iter	Passed	Remaining
230	334	1115
231	335	1110
232	336	1106
233	336	1102
234	337	1099
235	338	1096
236	339	1092
237	340	1088
238	340	1084
239	341	1081
240	342	1077
241	342	1073
242	343	1069
243	344	1065
244	344	1062
245	345	1058
246	346	1054
247	346	1051
248	347	1047
249	348	1044
250	348	1040
251	349	1037
252	350	1033
253	350	1030
254	351	1026
255	352	1023
256	352	1020
257	353	1017
258	354	1014
259	355	1011
260	355	1007
261	356	1004
262	357	1001
263	357	997
264	358	994
265	359	991
266	359	988
267	361	986
268	362	983
269	362	981
270	363	979
271	364	976
272	365	974
273	367	972
274	368	970
275	369	969
276	370	967
277	371	965
278	372	963
279	373	961
280	374	958
281	375	955
282	376	952
283	376	949
284	377	946
285	377	943
286	378	940
287	379	937
288	379	934
289	380	932
290	381	930
291	382	927
292	383	924
293	384	922
294	384	919
295	385	916
296	386	913
297	386	911
298	387	908
299	388	905
300	388	903
301	389	900
302	390	897
303	390	894
304	391	892
305	392	889
306	392	886
307	393	884
308	394	881
309	394	878
310	395	876
311	396	874
312	397	871
313	398	869
314	398	866
315	399	864
316	400	861
317	400	859
318	401	856
319	402	854
320	402	851
321	403	849
322	403	846
323	404	844
324	405	841
325	405	839
326	406	836
327	407	834
328	407	832
329	408	829
330	409	827
331	410	825
332	410	823
333	411	821
334	412	818
335	413	816
336	413	814
337	414	811
338	415	809
339	415	807
340	416	804
341	417	802
342	417	800
343	418	797
344	419	795
345	419	793
346	420	791
347	421	789
348	421	786
349	422	784
350	423	782
351	423	780
352	424	778
353	425	776
354	426	774
355	427	772
356	427	770
357	428	768
358	429	766
359	429	764
360	430	761
361	431	759
362	431	757
363	432	755
364	433	753
365	433	751
366	434	749
367	435	747
368	435	745
369	436	743
370	437	741
371	437	739
372	438	737
373	439	735
374	440	733
375	441	732
376	441	730
377	442	728
378	443	726
379	443	724
380	444	722
381	445	720
382	445	718
383	446	716
384	447	714
385	447	712
386	448	710
387	449	708
388	449	706
389	450	704
390	451	702
391	451	700
392	452	699
393	453	697
394	454	695
395	454	693
396	455	692
397	456	690
398	457	688
399	457	686
400	458	684
401	459	682
402	459	680
403	460	679
404	460	677
405	461	675
406	462	673
407	462	671
408	463	669
409	464	668
410	464	666
411	465	664
412	466	662
413	466	660
414	467	658
415	468	657
416	469	657
417	470	655
418	471	654
419	472	652
420	472	650
421	473	648
422	474	646
423	474	645
424	475	643
425	476	641
426	476	639
427	477	638
428	478	636
429	478	634
430	479	633
431	480	631
432	480	629
433	481	628
434	482	626
435	483	625
436	484	623
437	485	622
438	485	620
439	486	619
440	487	617
441	487	615
442	488	614
443	489	612
444	489	610
445	490	609
446	491	607
447	491	606
448	492	604
449	493	602
450	493	601
451	494	599
452	495	597
453	495	596
454	496	594
455	498	594
456	499	593
457	500	592
458	501	591
459	503	590
460	504	589
461	505	588
462	505	586
463	506	585
464	507	584
465	508	583
466	509	581
467	510	580
468	512	579
469	512	578
470	513	576
471	514	575
472	515	574
473	515	572
474	516	571
475	517	569
476	518	568
477	519	566
478	519	565
479	521	564
480	521	563
481	522	561
482	524	561
483	525	560
484	526	559
485	527	558
486	528	556
487	529	555
488	530	554
489	530	552
490	531	551
491	532	549
492	533	548
493	534	547
494	535	546
495	536	544
496	537	543
497	537	542
498	538	540
499	539	539
500	539	537
501	540	536
502	541	535
503	542	533
504	543	532
505	544	531
506	545	529
507	545	528
508	546	527
509	547	525
510	547	524
511	548	522
512	549	521
513	549	519
514	550	518
515	551	517
516	551	515
517	552	514
518	553	512
519	553	511
520	554	509
521	555	508
522	556	507
523	557	506
524	557	504
525	558	503
526	559	501
527	559	500
528	560	499
529	561	497
530	561	496
531	562	494
532	563	493
533	563	492
534	564	490
535	565	489
536	566	488
537	566	486
538	567	485
539	567	483
540	568	482
541	569	481
542	570	479
543	571	478
544	572	477
545	572	476
546	573	474
547	574	473
548	574	472
549	575	470
550	576	469
551	576	468
552	577	466
553	578	465
554	578	464
555	579	462
556	580	461
557	580	460
558	581	458
559	582	457
560	582	456
561	583	454
562	584	453
563	585	452
564	586	451
565	586	450
566	587	448
567	588	447
568	588	446
569	589	444
570	590	443
571	590	442
572	591	440
573	592	439
574	593	438
575	593	437
576	594	435
577	595	434
578	595	433
579	596	431
580	597	430
581	597	429
582	598	428
583	599	427
584	600	425
585	601	424
586	602	423
587	602	422
588	603	421
589	603	419
590	604	418
591	605	417
592	605	415
593	606	414
594	607	413
595	608	412
596	609	411
597	609	409
598	610	408
599	611	407
600	611	406
601	612	404
602	613	403
603	613	402
604	615	401
605	615	400
606	616	399
607	617	398
608	618	396
609	619	395
610	620	394
611	621	393
612	621	392
613	622	391
614	623	390
615	623	388
616	624	387
617	625	386
618	625	385
619	626	384
620	627	382
621	627	381
622	628	380
623	630	379
624	631	378
625	631	377
626	632	376
627	633	374
628	633	373
629	634	372
630	635	371
631	635	370
632	636	368
633	637	367
634	637	366
635	638	365
636	639	364
637	639	362
638	640	361
639	641	360
640	641	359
641	642	358
642	643	357
643	644	356
644	645	355
645	645	353
646	646	352
647	647	351
648	647	350
649	648	349
650	649	348
651	650	347
652	650	345
653	651	344
654	652	343
655	653	342
656	653	341
657	654	340
658	655	338
659	655	337
660	656	336
661	656	335
662	658	334
663	659	333
664	659	332
665	660	331
666	661	330
667	661	328
668	662	327
669	663	326
670	663	325
671	664	324
672	665	323
673	665	322
674	666	320
675	667	319
676	667	318
677	668	317
678	669	316
679	669	315
680	670	314
681	671	312
682	671	311
683	672	310
684	673	309
685	674	308
686	675	307
687	676	306
688	676	305
689	677	304
690	678	303
691	678	302
692	679	300
693	680	299
694	680	298
695	681	297
696	682	296
697	682	295
698	683	294
699	684	293
700	684	292
701	685	290
702	685	289
703	687	288
704	688	288
705	689	286
706	689	285
707	690	284
708	691	283
709	692	282
710	692	281
711	693	280
712	694	279
713	695	278
714	696	277
715	696	276
716	697	275
717	698	274
718	699	273
719	699	272
720	700	271
721	701	270
722	702	269
723	703	268
724	703	267
725	704	265
726	705	264
727	705	263
728	706	262
729	707	261
730	707	260
731	708	259
732	709	258
733	709	257
734	710	256
735	711	255
736	711	254
737	712	252
738	713	251
739	713	250
740	714	249
741	715	248
742	716	247
743	717	247
744	718	245
745	719	244
746	719	243
747	720	242
748	721	241
749	721	240
750	722	239
751	723	238
752	723	237
753	724	236
754	725	235
755	725	234
756	726	233
757	727	232
758	727	231
759	728	230
760	729	229
761	731	228
762	732	227
763	733	226
764	734	225
765	735	224
766	736	223
767	737	222
768	737	221
769	738	220
770	739	219
771	739	218
772	740	217
773	741	216
774	741	215
775	742	214
776	743	213
777	744	212
778	744	211
779	745	210
780	746	209
781	747	208
782	747	207
783	748	206
784	749	205
785	749	204
786	750	203
787	751	202
788	752	201
789	752	200
790	753	199
791	753	198
792	754	196
793	755	195
794	756	194
795	756	193
796	757	192
797	757	191
798	758	190
799	759	189
800	760	188
801	761	187
802	761	186
803	762	185
804	763	184
805	764	183
806	764	182
807	765	181
808	766	180
809	766	179
810	767	178
811	768	177
812	769	176
813	769	175
814	770	174
815	771	173
816	771	172
817	772	171
818	772	170
819	773	169
820	774	168
821	775	167
822	776	166
823	776	165
824	777	164
825	778	163
826	778	162
827	779	161
828	780	160
829	780	159
830	781	158
831	782	157
832	782	156
833	783	155
834	784	154
835	784	153
836	785	152
837	786	152
838	786	151
839	787	150
840	788	149
841	789	148
842	790	147
843	790	146
844	791	145
845	792	144
846	792	143
847	793	142
848	794	141
849	794	140
850	795	139
851	796	138
852	796	137
853	797	136
854	798	135
855	798	134
856	799	133
857	800	132
858	800	131
859	801	130
860	802	129
861	803	128
862	804	127
863	804	126
864	805	125
865	806	124
866	806	123
867	807	122
868	808	121
869	808	120
870	809	119
871	810	118
872	810	117
873	811	116
874	812	116
875	812	115
876	813	114
877	814	113
878	814	112
879	815	111
880	816	110
881	816	109
882	817	108
883	818	107
884	819	106
885	820	105
886	820	104
887	821	103
888	822	102
889	823	101
890	823	100
891	824	99
892	825	98
893	825	97
894	826	96
895	827	95
896	827	95
897	828	94
898	829	93
899	829	92
900	830	91
901	831	90
902	831	89
903	832	88
904	833	87
905	834	86
906	834	85
907	835	84
908	836	83
909	836	82
910	837	81
911	838	80
912	839	79
913	839	79
914	840	78
915	841	77
916	841	76
917	842	75
918	843	74
919	843	73
920	844	72
921	845	71
922	845	70
923	846	69
924	847	68
925	848	67
926	849	66
927	850	65
928	850	65
929	851	64
930	852	63
931	852	62
932	853	61
933	854	60
934	854	59
935	855	58
936	856	57
937	856	56
938	857	55
939	858	54
940	858	53
941	859	52
942	860	51
943	860	51
944	862	50
945	862	49
946	863	48
947	864	47
948	864	46
949	865	45
950	866	44
951	866	43
952	867	42
953	868	41
954	868	40
955	869	40
956	870	39
957	871	38
958	871	37
959	872	36
960	873	35
961	873	34
962	874	33
963	875	32
964	875	31
965	876	30
966	877	29
967	878	29
968	878	28
969	879	27
970	880	26
971	880	25
972	881	24
973	882	23
974	882	22
975	883	21
976	884	20
977	884	19
978	885	18
979	886	18
980	886	17
981	887	16
982	888	15
983	889	14
984	889	13
985	891	12
986	892	11
987	892	10
988	893	9
989	894	9
990	894	8
991	895	7
992	896	6
993	896	5
994	897	4
995	898	3
996	898	2
997	899	1
998	900	0
999	900	0
